name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
g10-3_00004_8,ftw,1.0.0,croatia,17.108406315000003,46.13887277999999,0.0,1.0,0.0,ftw/croatia/s2_images/window_a/g10-3_00004_8.tif,ftw/croatia/s2_images/window_b/g10-3_00004_8.tif,ftw/croatia/label_masks/semantic_3class/g10-3_00004_8.tif,train
g10-3_00004_9,ftw,1.0.0,croatia,17.12223513,46.13887277999999,0.0,1.0,0.0,ftw/croatia/s2_images/window_a/g10-3_00004_9.tif,ftw/croatia/s2_images/window_b/g10-3_00004_9.tif,ftw/croatia/label_masks/semantic_3class/g10-3_00004_9.tif,train
g22_0000000000-0000001536,ftw,1.0.0,portugal,-31.098077009999997,39.727077390000005,0.0,1.0,0.0,ftw/portugal/s2_images/window_a/g22_0000000000-0000001536.tif,ftw/portugal/s2_images/window_b/g22_0000000000-0000001536.tif,ftw/portugal/label_masks/semantic_3class/g22_0000000000-0000001536.tif,test
g3_00007_12,ftw,1.0.0,corsica,9.499224735,42.056984969999995,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00007_12.tif,ftw/corsica/s2_images/window_b/g3_00007_12.tif,ftw/corsica/label_masks/semantic_3class/g3_00007_12.tif,train
g3_00007_13,ftw,1.0.0,corsica,9.51305355,42.056984969999995,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00007_13.tif,ftw/corsica/s2_images/window_b/g3_00007_13.tif,ftw/corsica/label_masks/semantic_3class/g3_00007_13.tif,train
g3_00009_11,ftw,1.0.0,corsica,9.499224735,42.04311111,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00009_11.tif,ftw/corsica/s2_images/window_b/g3_00009_11.tif,ftw/corsica/label_masks/semantic_3class/g3_00009_11.tif,train
g3_00011_9,ftw,1.0.0,corsica,9.48539592,42.029327339999995,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00011_9.tif,ftw/corsica/s2_images/window_b/g3_00011_9.tif,ftw/corsica/label_masks/semantic_3class/g3_00011_9.tif,train
g3_00013_7,ftw,1.0.0,corsica,9.47161215,42.01554356999999,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00013_7.tif,ftw/corsica/s2_images/window_b/g3_00013_7.tif,ftw/corsica/label_masks/semantic_3class/g3_00013_7.tif,train
g3_00015_5,ftw,1.0.0,corsica,9.45782838,42.001759799999995,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00015_5.tif,ftw/corsica/s2_images/window_b/g3_00015_5.tif,ftw/corsica/label_masks/semantic_3class/g3_00015_5.tif,train
g3_00017_3,ftw,1.0.0,corsica,9.44404461,41.98797602999999,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g3_00017_3.tif,ftw/corsica/s2_images/window_b/g3_00017_3.tif,ftw/corsica/label_masks/semantic_3class/g3_00017_3.tif,train
