name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
g10_00158_6,ftw,1.0.0,estonia,25.29204678,58.34426598,0.331207275390625,0.668792724609375,0.0,ftw/estonia/s2_images/window_a/g10_00158_6.tif,ftw/estonia/s2_images/window_b/g10_00158_6.tif,ftw/estonia/label_masks/semantic_3class/g10_00158_6.tif,train
g3_1223,ftw,1.0.0,india,91.38756626999998,26.218126935,0.0043792724609375,0.0,0.9956207275390624,ftw/india/s2_images/window_a/g3_1223.tif,ftw/india/s2_images/window_b/g3_1223.tif,ftw/india/label_masks/semantic_3class/g3_1223.tif,train
g212_00006_7,ftw,1.0.0,france,2.9232403199999997,49.792743,0.982666015625,0.017333984375,0.0,ftw/france/s2_images/window_a/g212_00006_7.tif,ftw/france/s2_images/window_b/g212_00006_7.tif,ftw/france/label_masks/semantic_3class/g212_00006_7.tif,train
g94_00008_5,ftw,1.0.0,austria,15.38863326,48.924906029999995,0.1649169921875,0.8350830078125,0.0,ftw/austria/s2_images/window_a/g94_00008_5.tif,ftw/austria/s2_images/window_b/g94_00008_5.tif,ftw/austria/label_masks/semantic_3class/g94_00008_5.tif,train
g6-0_00100_6,ftw,1.0.0,sweden,13.38124788,55.524854385000005,0.20806884765625,0.79193115234375,0.0,ftw/sweden/s2_images/window_a/g6-0_00100_6.tif,ftw/sweden/s2_images/window_b/g6-0_00100_6.tif,ftw/sweden/label_masks/semantic_3class/g6-0_00100_6.tif,train
g23_00002_17,ftw,1.0.0,netherlands,6.00458859,53.23246929,0.0059051513671875,0.9940948486328124,0.0,ftw/netherlands/s2_images/window_a/g23_00002_17.tif,ftw/netherlands/s2_images/window_b/g23_00002_17.tif,ftw/netherlands/label_masks/semantic_3class/g23_00002_17.tif,train
g2_0000012800-0000011264,ftw,1.0.0,brazil,-46.087566525,-12.23449227,0.9277191162109376,0.0,0.0722808837890625,ftw/brazil/s2_images/window_a/g2_0000012800-0000011264.tif,ftw/brazil/s2_images/window_b/g2_0000012800-0000011264.tif,ftw/brazil/label_masks/semantic_3class/g2_0000012800-0000011264.tif,train
g212_00002_16,ftw,1.0.0,france,2.67486219,49.80652677,0.9231109619140624,0.0768890380859375,0.0,ftw/france/s2_images/window_a/g212_00002_16.tif,ftw/france/s2_images/window_b/g212_00002_16.tif,ftw/france/label_masks/semantic_3class/g212_00002_16.tif,train
g14-1_00138_18,ftw,1.0.0,finland,22.633580969999997,60.68327264999999,0.1114349365234375,0.8885650634765625,0.0,ftw/finland/s2_images/window_a/g14-1_00138_18.tif,ftw/finland/s2_images/window_b/g14-1_00138_18.tif,ftw/finland/label_masks/semantic_3class/g14-1_00138_18.tif,train
g23_00016_17,ftw,1.0.0,netherlands,5.94936342,53.149676580000005,0.057220458984375,0.942779541015625,0.0,ftw/netherlands/s2_images/window_a/g23_00016_17.tif,ftw/netherlands/s2_images/window_b/g23_00016_17.tif,ftw/netherlands/label_masks/semantic_3class/g23_00016_17.tif,train
g11_00015_3,ftw,1.0.0,lithuania,23.32943613,55.03291794,0.6243438720703125,0.3756561279296875,0.0,ftw/lithuania/s2_images/window_a/g11_00015_3.tif,ftw/lithuania/s2_images/window_b/g11_00015_3.tif,ftw/lithuania/label_masks/semantic_3class/g11_00015_3.tif,validate
g25_00032_0,ftw,1.0.0,latvia,23.52601251,56.607465915,0.886474609375,0.113525390625,0.0,ftw/latvia/s2_images/window_a/g25_00032_0.tif,ftw/latvia/s2_images/window_b/g25_00032_0.tif,ftw/latvia/label_masks/semantic_3class/g25_00032_0.tif,train
g7_00024_16,ftw,1.0.0,spain,-1.76954778,42.80941665,0.7402191162109375,0.2597808837890625,0.0,ftw/spain/s2_images/window_a/g7_00024_16.tif,ftw/spain/s2_images/window_b/g7_00024_16.tif,ftw/spain/label_masks/semantic_3class/g7_00024_16.tif,train
g6-0_00104_5,ftw,1.0.0,sweden,13.519220715,55.51102557,0.7890625,0.2109375,0.0,ftw/sweden/s2_images/window_a/g6-0_00104_5.tif,ftw/sweden/s2_images/window_b/g6-0_00104_5.tif,ftw/sweden/label_masks/semantic_3class/g6-0_00104_5.tif,train
g0_0682,ftw,1.0.0,india,77.40429196499998,20.318132835,0.013397216796875,0.0,0.986602783203125,ftw/india/s2_images/window_a/g0_0682.tif,ftw/india/s2_images/window_b/g0_0682.tif,ftw/india/label_masks/semantic_3class/g0_0682.tif,train
g5_00019_1,ftw,1.0.0,corsica,9.46701756,42.33257027999999,0.0,1.0,0.0,ftw/corsica/s2_images/window_a/g5_00019_1.tif,ftw/corsica/s2_images/window_b/g5_00019_1.tif,ftw/corsica/label_masks/semantic_3class/g5_00019_1.tif,train
g13-5_00036_4,ftw,1.0.0,sweden,17.295703425000003,59.684084459999994,0.5600128173828125,0.4399871826171875,0.0,ftw/sweden/s2_images/window_a/g13-5_00036_4.tif,ftw/sweden/s2_images/window_b/g13-5_00036_4.tif,ftw/sweden/label_masks/semantic_3class/g13-5_00036_4.tif,train
g94_00009_2,ftw,1.0.0,austria,15.05746242,48.91112226,0.3026580810546875,0.6973419189453125,0.0,ftw/austria/s2_images/window_a/g94_00009_2.tif,ftw/austria/s2_images/window_b/g94_00009_2.tif,ftw/austria/label_masks/semantic_3class/g94_00009_2.tif,train
g15_00130_4,ftw,1.0.0,estonia,26.72618949,57.84142864500001,0.5735015869140625,0.4264984130859375,0.0,ftw/estonia/s2_images/window_a/g15_00130_4.tif,ftw/estonia/s2_images/window_b/g15_00130_4.tif,ftw/estonia/label_masks/semantic_3class/g15_00130_4.tif,train
g6_00041_10,ftw,1.0.0,belgium,3.83161779,50.851480679999995,0.4111328125,0.5888671875,0.0,ftw/belgium/s2_images/window_a/g6_00041_10.tif,ftw/belgium/s2_images/window_b/g6_00041_10.tif,ftw/belgium/label_masks/semantic_3class/g6_00041_10.tif,train
g50_00009_15,ftw,1.0.0,latvia,25.47060516,57.447915525000006,0.0,1.0,0.0,ftw/latvia/s2_images/window_a/g50_00009_15.tif,ftw/latvia/s2_images/window_b/g50_00009_15.tif,ftw/latvia/label_masks/semantic_3class/g50_00009_15.tif,test
g212_00013_1,ftw,1.0.0,france,2.64729465,49.75139168999999,0.6621246337890625,0.3378753662109375,0.0,ftw/france/s2_images/window_a/g212_00013_1.tif,ftw/france/s2_images/window_b/g212_00013_1.tif,ftw/france/label_masks/semantic_3class/g212_00013_1.tif,train
g2_00007_7,ftw,1.0.0,south_africa,20.62493433,-34.2963621,0.51483154296875,0.48516845703125,0.0,ftw/south_africa/s2_images/window_a/g2_00007_7.tif,ftw/south_africa/s2_images/window_b/g2_00007_7.tif,ftw/south_africa/label_masks/semantic_3class/g2_00007_7.tif,train
g16_00050_11,ftw,1.0.0,netherlands,5.4623368800000005,51.70652487,0.33392333984375,0.66607666015625,0.0,ftw/netherlands/s2_images/window_a/g16_00050_11.tif,ftw/netherlands/s2_images/window_b/g16_00050_11.tif,ftw/netherlands/label_masks/semantic_3class/g16_00050_11.tif,train
g0_00014_7,ftw,1.0.0,luxembourg,5.96458863,49.82688711,0.6354522705078125,0.3645477294921875,0.0,ftw/luxembourg/s2_images/window_a/g0_00014_7.tif,ftw/luxembourg/s2_images/window_b/g0_00014_7.tif,ftw/luxembourg/label_masks/semantic_3class/g0_00014_7.tif,train
g2_1898,ftw,1.0.0,india,75.92987902499999,24.641596980000003,0.02203369140625,0.0,0.97796630859375,ftw/india/s2_images/window_a/g2_1898.tif,ftw/india/s2_images/window_b/g2_1898.tif,ftw/india/label_masks/semantic_3class/g2_1898.tif,test
g2_00007_15,ftw,1.0.0,belgium,3.1216184999999994,51.17553441,0.2286834716796875,0.7713165283203125,0.0,ftw/belgium/s2_images/window_a/g2_00007_15.tif,ftw/belgium/s2_images/window_b/g2_00007_15.tif,ftw/belgium/label_masks/semantic_3class/g2_00007_15.tif,train
g15_00138_18,ftw,1.0.0,estonia,27.08492787,57.81381605999999,0.038604736328125,0.961395263671875,0.0,ftw/estonia/s2_images/window_a/g15_00138_18.tif,ftw/estonia/s2_images/window_b/g15_00138_18.tif,ftw/estonia/label_masks/semantic_3class/g15_00138_18.tif,test
g10-3_00044_1,ftw,1.0.0,croatia,16.818631829999998,45.890539695,0.4167022705078125,0.5832977294921875,0.0,ftw/croatia/s2_images/window_a/g10-3_00044_1.tif,ftw/croatia/s2_images/window_b/g10-3_00044_1.tif,ftw/croatia/label_masks/semantic_3class/g10-3_00044_1.tif,validate
g8_00126_1,ftw,1.0.0,lithuania,22.35231999,55.764809099999994,0.14483642578125,0.85516357421875,0.0,ftw/lithuania/s2_images/window_a/g8_00126_1.tif,ftw/lithuania/s2_images/window_b/g8_00126_1.tif,ftw/lithuania/label_masks/semantic_3class/g8_00126_1.tif,train
g78_00030_14,ftw,1.0.0,austria,14.314174875,48.42274437,0.0052642822265625,0.9947357177734376,0.0,ftw/austria/s2_images/window_a/g78_00030_14.tif,ftw/austria/s2_images/window_b/g78_00030_14.tif,ftw/austria/label_masks/semantic_3class/g78_00030_14.tif,train
g19_00014_6,ftw,1.0.0,latvia,26.59177521,56.32661034,0.3957672119140625,0.6042327880859375,0.0,ftw/latvia/s2_images/window_a/g19_00014_6.tif,ftw/latvia/s2_images/window_b/g19_00014_6.tif,ftw/latvia/label_masks/semantic_3class/g19_00014_6.tif,train
g15-1_00103_9,ftw,1.0.0,finland,22.600608030000004,62.34903675,0.0,1.0,0.0,ftw/finland/s2_images/window_a/g15-1_00103_9.tif,ftw/finland/s2_images/window_b/g15-1_00103_9.tif,ftw/finland/label_masks/semantic_3class/g15-1_00103_9.tif,validate
g16_00033_17,ftw,1.0.0,netherlands,5.434769339999999,51.80310134999999,0.2601318359375,0.7398681640625,0.0,ftw/netherlands/s2_images/window_a/g16_00033_17.tif,ftw/netherlands/s2_images/window_b/g16_00033_17.tif,ftw/netherlands/label_masks/semantic_3class/g16_00033_17.tif,train
g26_00015_10,ftw,1.0.0,latvia,23.752814084999997,56.691024389999995,0.0,1.0,0.0,ftw/latvia/s2_images/window_a/g26_00015_10.tif,ftw/latvia/s2_images/window_b/g26_00015_10.tif,ftw/latvia/label_masks/semantic_3class/g26_00015_10.tif,train
g79_00003_8,ftw,1.0.0,austria,14.68746279,48.598735185,0.0,1.0,0.0,ftw/austria/s2_images/window_a/g79_00003_8.tif,ftw/austria/s2_images/window_b/g79_00003_8.tif,ftw/austria/label_masks/semantic_3class/g79_00003_8.tif,train
g25_00045_14,ftw,1.0.0,latvia,23.23628307,56.52471824999999,0.522552490234375,0.477447509765625,0.0,ftw/latvia/s2_images/window_a/g25_00045_14.tif,ftw/latvia/s2_images/window_b/g25_00045_14.tif,ftw/latvia/label_masks/semantic_3class/g25_00045_14.tif,test
g1_00013_6,ftw,1.0.0,south_africa,20.86871787,-34.166767635,0.71356201171875,0.28643798828125,0.0,ftw/south_africa/s2_images/window_a/g1_00013_6.tif,ftw/south_africa/s2_images/window_b/g1_00013_6.tif,ftw/south_africa/label_masks/semantic_3class/g1_00013_6.tif,train
g6-0_00035_12,ftw,1.0.0,sweden,13.46404059,55.787016285,0.885101318359375,0.114898681640625,0.0,ftw/sweden/s2_images/window_a/g6-0_00035_12.tif,ftw/sweden/s2_images/window_b/g6-0_00035_12.tif,ftw/sweden/label_masks/semantic_3class/g6-0_00035_12.tif,train
g31_00005_8,ftw,1.0.0,latvia,26.90051364,56.71390724999999,0.0605010986328125,0.9394989013671876,0.0,ftw/latvia/s2_images/window_a/g31_00005_8.tif,ftw/latvia/s2_images/window_b/g31_00005_8.tif,ftw/latvia/label_masks/semantic_3class/g31_00005_8.tif,train
g14-1_00115_5,ftw,1.0.0,finland,22.606013429999997,60.79372298999999,0.36114501953125,0.63885498046875,0.0,ftw/finland/s2_images/window_a/g14-1_00115_5.tif,ftw/finland/s2_images/window_b/g14-1_00115_5.tif,ftw/finland/label_masks/semantic_3class/g14-1_00115_5.tif,train
g95_00031_1,ftw,1.0.0,austria,15.83439858,48.76472601,0.871734619140625,0.128265380859375,0.0,ftw/austria/s2_images/window_a/g95_00031_1.tif,ftw/austria/s2_images/window_b/g95_00031_1.tif,ftw/austria/label_masks/semantic_3class/g95_00031_1.tif,test
g165_00080_9,ftw,1.0.0,france,0.01387386,46.5801336,0.4447174072265625,0.5552825927734375,0.0,ftw/france/s2_images/window_a/g165_00080_9.tif,ftw/france/s2_images/window_b/g165_00080_9.tif,ftw/france/label_masks/semantic_3class/g165_00080_9.tif,train
g77_00012_18,ftw,1.0.0,austria,13.41584244,48.533960475,0.0,1.0,0.0,ftw/austria/s2_images/window_a/g77_00012_18.tif,ftw/austria/s2_images/window_b/g77_00012_18.tif,ftw/austria/label_masks/semantic_3class/g77_00012_18.tif,train
