name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
AO2334049,mappingafrica,v2.0.0,ao,13.9915,-13.0275,0.2611009247448979,0.7388990752551021,0.0,,mappingafrica-256/images/AO2334049_2021-10.tif,mappingafrica-256/labels/AO2334049_26852_2021-10.tif,validate
TZ2518447,mappingafrica,v2.0.0,tz,34.6265,-8.9875,0.3572026466836734,0.6427973533163266,0.0,,mappingafrica-256/images/TZ2518447_2017-08.tif,mappingafrica-256/labels/TZ2518447_13570_2017-08.tif,validate
g95_00051_1,ftw,1.0.0,austria,15.55845291,48.62679822,0.0504150390625,0.9495849609375,0.0,ftw/austria/s2_images/window_a/g95_00051_1.tif,ftw/austria/s2_images/window_b/g95_00051_1.tif,ftw/austria/label_masks/semantic_3class/g95_00051_1.tif,validate
ET2888256,mappingafrica,v2.0.0,et,35.5215,6.2675,0.3450255102040816,0.6549744897959184,0.0,,mappingafrica-256/images/ET2888256_2022-12.tif,mappingafrica-256/labels/ET2888256_41105_2022-12.tif,validate
g15-1_00004_10,ftw,1.0.0,finland,22.93168878,62.81813538,0.7646331787109375,0.2353668212890625,0.0,ftw/finland/s2_images/window_a/g15-1_00004_10.tif,ftw/finland/s2_images/window_b/g15-1_00004_10.tif,ftw/finland/label_masks/semantic_3class/g15-1_00004_10.tif,validate
g6_00058_3,ftw,1.0.0,denmark,8.776657890000001,55.50498954,0.8217620849609375,0.1782379150390625,0.0,ftw/denmark/s2_images/window_a/g6_00058_3.tif,ftw/denmark/s2_images/window_b/g6_00058_3.tif,ftw/denmark/label_masks/semantic_3class/g6_00058_3.tif,validate
g1_00034_10,ftw,1.0.0,spain,-1.6565749199999995,42.020138159999995,0.84808349609375,0.15191650390625,0.0,ftw/spain/s2_images/window_a/g1_00034_10.tif,ftw/spain/s2_images/window_b/g1_00034_10.tif,ftw/spain/label_masks/semantic_3class/g1_00034_10.tif,validate
ZW0426590,mappingafrica,v2.0.0,zw,28.5465,-18.1025,0.8487523915816326,0.1512476084183673,0.0,,mappingafrica-256/images/ZW0426590_2018-08.tif,mappingafrica-256/labels/ZW0426590_3863_2018-08.tif,validate
g14-1_00020_13,ftw,1.0.0,finland,22.53700449,61.23525408,0.249114990234375,0.750885009765625,0.0,ftw/finland/s2_images/window_a/g14-1_00020_13.tif,ftw/finland/s2_images/window_b/g14-1_00020_13.tif,ftw/finland/label_masks/semantic_3class/g14-1_00020_13.tif,validate
TZ0122366,mappingafrica,v2.0.0,tz,33.7915,-1.7475,0.4178890306122449,0.5821109693877551,0.0,,mappingafrica-256/images/TZ0122366_2020-11.tif,mappingafrica-256/labels/TZ0122366_3713_2020-11.tif,validate
