name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
g15_00070_18,ftw,1.0.0,estonia,26.643396780000003,58.06219419,0.4068450927734375,0.5931549072265625,0.0,ftw/estonia/s2_images/window_a/g15_00070_18.tif,ftw/estonia/s2_images/window_b/g15_00070_18.tif,ftw/estonia/label_masks/semantic_3class/g15_00070_18.tif,train
SD4949438,mappingafrica,v2.0.0,SD,32.0865,12.8375,0.998405612244898,0.001594387755102,0.0,mappingafrica-256/images/SD4949438_2020-02.tif,,mappingafrica-256/labels/SD4949438_20927_2020-02.tif,test
g31_00030_10,ftw,1.0.0,latvia,27.38348613,56.58976323,0.0601043701171875,0.9398956298828124,0.0,ftw/latvia/s2_images/window_a/g31_00030_10.tif,ftw/latvia/s2_images/window_b/g31_00030_10.tif,ftw/latvia/label_masks/semantic_3class/g31_00030_10.tif,train
BF0769560,mappingafrica,v2.0.0,BF,0.7865,11.0775,0.5498046875,0.4501953125,0.0,mappingafrica-256/images/BF0769560_2020-02.tif,,mappingafrica-256/labels/BF0769560_36275_2020-02.tif,test
g11_00118_12,ftw,1.0.0,lithuania,23.081058,54.60517062,0.709503173828125,0.290496826171875,0.0,ftw/lithuania/s2_images/window_a/g11_00118_12.tif,ftw/lithuania/s2_images/window_b/g11_00118_12.tif,ftw/lithuania/label_masks/semantic_3class/g11_00118_12.tif,train
CG0937936,mappingafrica,v1.3.0,CG,15.3265,-3.6125,0.2320033482142857,0.7679966517857143,0.0,mappingafrica-256/images/CG0937936_2022-03.tif,,mappingafrica-256/labels/CG0937936_900656_2022-03.tif,validate
g15_00029_16,ftw,1.0.0,estonia,26.49159513,58.213995839999995,0.7886505126953125,0.2113494873046875,0.0,ftw/estonia/s2_images/window_a/g15_00029_16.tif,ftw/estonia/s2_images/window_b/g15_00029_16.tif,ftw/estonia/label_masks/semantic_3class/g15_00029_16.tif,train
g15-1_00097_6,ftw,1.0.0,finland,22.53159909,62.37660429,0.0,1.0,0.0,ftw/finland/s2_images/window_a/g15-1_00097_6.tif,ftw/finland/s2_images/window_b/g15-1_00097_6.tif,ftw/finland/label_masks/semantic_3class/g15-1_00097_6.tif,train
g22_00009_12,ftw,1.0.0,denmark,10.10107098,57.360303,0.776641845703125,0.223358154296875,0.0,ftw/denmark/s2_images/window_a/g22_00009_12.tif,ftw/denmark/s2_images/window_b/g22_00009_12.tif,ftw/denmark/label_masks/semantic_3class/g22_00009_12.tif,train
NG0990035,mappingafrica,v2.0.0,NG,9.5965,10.9975,0.9246651785714286,0.0753348214285714,0.0,mappingafrica-256/images/NG0990035_2018-02.tif,,mappingafrica-256/labels/NG0990035_24018_2018-02.tif,train
